room_type,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,latitude,longitude
Private room,Sant Martí,118,4.5,2,1.0,41.0,41.390011,2.195718
Private room,Eixample,39,4.5,1,1.0,36.0,41.398491,2.1833720000000003
Private room,Eixample,17,4.5,2,1.0,38.0,41.396589,2.185897
Private room,Eixample,43,4.5,3,1.0,35.0,41.393751,2.18269
Private room,Sant Martí,4,4.0,2,1.0,37.0,41.398842,2.1873299999999998
Private room,Sant Martí,3,3.5,1,1.0,36.0,41.39411,2.190097
Private room,Eixample,45,4.5,3,2.0,38.0,41.394141,2.180877
Private room,Eixample,20,4.5,2,1.0,36.0,41.392542999999996,2.180935
Private room,Eixample,4,4.0,2,0.0,36.0,41.404854,2.181539
Private room,Sant Martí,106,4.5,1,1.0,29.0,41.391809,2.188768
Private room,Sant Martí,5,4.5,1,1.0,39.0,41.394242999999996,2.186777
Private room,Sant Martí,64,4.5,1,1.0,36.0,41.399049,2.187369
Private room,Eixample,11,3.5,1,1.0,34.0,41.398809,2.182824
Private room,Eixample,24,4.5,1,1.0,38.0,41.397463,2.185621
Private room,Eixample,8,4.5,2,1.0,37.0,41.40097,2.181606
Private room,Eixample,3,5.0,1,1.0,31.0,41.401627000000005,2.18321
Private room,Sant Martí,5,5.0,1,1.0,35.0,41.397374,2.18736
Private room,Gràcia,19,4.5,1,1.0,24.0,41.405566,2.168893
Private room,Horta-Guinardó,4,4.5,1,1.0,18.0,41.410903000000005,2.170234
Private room,Gràcia,14,5.0,4,2.0,30.0,41.405927,2.163193
Private room,Gràcia,46,4.5,1,1.0,30.0,41.406157,2.1623799999999997
Private room,Horta-Guinardó,35,5.0,1,1.0,36.0,41.408445,2.169265
Private room,Gràcia,16,5.0,1,1.0,30.0,41.407871,2.1612709999999997
Private room,Sant Andreu,40,4.5,1,1.0,16.0,41.418592,2.186904
Private room,Sant Martí,62,4.0,1,1.0,18.0,41.414246999999996,2.178484
Private room,Horta-Guinardó,19,4.5,2,1.0,36.0,41.415129,2.178218
Private room,Horta-Guinardó,6,5.0,1,1.0,30.0,41.417002000000004,2.167909
Private room,Eixample,7,4.5,2,1.0,38.0,41.409265999999995,2.173693
Private room,Eixample,45,5.0,2,1.0,36.0,41.408553000000005,2.17801
Private room,Horta-Guinardó,11,4.0,2,1.0,38.0,41.410958,2.171816
Private room,Horta-Guinardó,17,5.0,2,1.0,34.0,41.416526,2.165389
Private room,Eixample,16,4.0,2,1.0,28.0,41.408093,2.1728680000000002
Private room,Horta-Guinardó,10,4.5,2,1.0,24.0,41.415646,2.166451
Private room,Horta-Guinardó,9,4.5,2,1.0,34.0,41.416614,2.176387
Private room,Eixample,57,5.0,2,1.0,36.0,41.41154,2.174941
Private room,Gràcia,18,5.0,1,1.0,36.0,41.410077,2.163793
Private room,Horta-Guinardó,24,5.0,2,1.0,38.0,41.410959999999996,2.166271
Private room,Sant Martí,6,4.0,1,1.0,36.0,41.415714,2.184072
Private room,Horta-Guinardó,36,5.0,2,1.0,29.0,41.418848,2.169451
Private room,Horta-Guinardó,74,4.5,2,1.0,27.0,41.415457,2.163031
Private room,Horta-Guinardó,78,4.5,4,1.0,27.0,41.419222999999995,2.175153
Private room,Sant Martí,18,5.0,1,1.0,18.0,41.412194,2.198204
Private room,Sant Martí,3,4.5,1,1.0,30.0,41.408972999999996,2.183267
Private room,Sant Martí,25,4.5,2,1.0,22.0,41.414485,2.18506
Private room,Sant Martí,3,4.5,2,1.0,31.0,41.411663,2.189029
Private room,Sant Martí,3,4.5,1,3.0,30.0,41.41417,2.181861
Private room,Sant Martí,12,4.5,2,1.0,39.0,41.40852,2.186096
Private room,Sant Martí,18,4.5,2,1.0,28.0,41.409965,2.182089
Private room,Sant Martí,28,4.0,2,1.0,37.0,41.411262,2.184758
Private room,Sant Andreu,6,5.0,2,1.0,34.0,41.418353,2.181053
Private room,Sant Martí,3,5.0,1,1.0,36.0,41.410574,2.184741
Private room,Sant Andreu,9,5.0,1,1.0,24.0,41.415884999999996,2.186799
Private room,Sant Martí,16,4.0,2,1.0,36.0,41.413229,2.188956
Private room,Sant Andreu,14,5.0,2,1.0,36.0,41.418465999999995,2.189567
Private room,Sant Martí,4,5.0,2,1.0,30.0,41.414182000000004,2.1913150000000003
Private room,Sant Andreu,5,4.0,1,1.0,18.0,41.418562,2.189516
Private room,Sant Martí,17,4.5,2,1.0,29.0,41.410376,2.181489
Private room,Sant Martí,3,5.0,1,1.0,36.0,41.415627,2.184776
Private room,Sant Martí,23,5.0,2,1.0,36.0,41.411232,2.183068
Private room,Sant Andreu,4,5.0,2,1.0,38.0,41.414771,2.188193
Private room,Sant Andreu,20,4.0,2,1.0,31.0,41.419174,2.18772
Private room,Sant Martí,3,5.0,1,1.0,30.0,41.40883,2.182931
Private room,Sant Andreu,3,4.5,1,1.0,30.0,41.416517999999996,2.1878130000000002
Private room,Sant Martí,28,4.5,2,1.0,36.0,41.409648,2.188125
Private room,Sant Martí,31,4.5,2,1.0,39.0,41.411582,2.1835009999999997
Private room,Sant Martí,47,5.0,2,1.0,30.0,41.413319,2.184705
Private room,Sant Martí,9,5.0,2,1.0,35.0,41.412477,2.190831
Private room,Sant Andreu,3,4.5,2,1.0,41.0,41.419157,2.188934
Private room,Sant Martí,5,5.0,1,1.0,29.0,41.408521,2.190961
Private room,Sant Andreu,11,5.0,2,1.0,24.0,41.416064,2.189087
