@RELATION AirBnB

@ATTRIBUTE room_type {'Shared room','Entire home/apt','Private room'}
@ATTRIBUTE neighborhood {'Eixample','Sants-Montjuïc','Sant Martí','Ciutat Vella','Les Corts','Horta-Guinardó','Nou Barris','Gràcia','Sarrià-Sant Gervasi','Sant Andreu'}
@ATTRIBUTE reviews INTEGER
@ATTRIBUTE overall_satisfaction {1,2,3,4,5}
@ATTRIBUTE accommodates INTEGER
@ATTRIBUTE bedrooms INTEGER
@ATTRIBUTE price INTEGER
@ATTRIBUTE latitude INTEGER
@ATTRIBUTE longitude INTEGER

@DATA
'Shared room','Eixample',27,4,10,1,264,41,2
'Shared room','Sants-Montjuïc',11,4,12,1,129,41,2
'Shared room','Eixample',9,5,2,1,72,41,2
'Shared room','Eixample',10,5,2,1,64,41,2
'Shared room','Sants-Montjuïc',67,4,16,1,45,41,2
'Shared room','Ciutat Vella',9,5,2,1,60,41,2
'Shared room','Eixample',6,4,8,1,289,41,2
'Shared room','Sant Martí',5,4,2,1,133,41,2
'Shared room','Eixample',20,4,4,1,144,41,2
'Shared room','Sants-Montjuïc',6,4,6,1,114,41,2
'Shared room','Eixample',28,4,4,1,84,41,2
'Shared room','Eixample',4,5,1,1,100,41,2
'Shared room','Sants-Montjuïc',17,3,16,1,66,41,2
'Shared room','Les Corts',15,4,3,1,66,41,2
'Shared room','Ciutat Vella',69,4,2,1,55,41,2
'Shared room','Ciutat Vella',9,4,2,1,61,41,2
'Shared room','Sant Martí',5,5,2,1,47,41,2
'Shared room','Horta-Guinardó',37,4,2,1,58,41,2
'Shared room','Nou Barris',5,4,4,1,29,41,2
'Shared room','Horta-Guinardó',3,4,1,1,12,41,2
'Shared room','Horta-Guinardó',4,1,1,1,19,41,2
'Shared room','Horta-Guinardó',4,1,1,1,26,41,2
'Shared room','Gràcia',5,4,3,1,35,41,2
'Shared room','Horta-Guinardó',6,3,1,1,20,41,2
'Shared room','Eixample',5,4,4,1,33,41,2
'Shared room','Eixample',13,4,6,1,29,41,2
'Shared room','Sants-Montjuïc',6,1,1,1,41,41,2
'Shared room','Gràcia',38,4,1,1,24,41,2
'Shared room','Gràcia',12,4,6,1,31,41,2
'Shared room','Sant Martí',54,4,1,1,27,41,2
'Shared room','Eixample',56,4,4,1,33,41,2
'Shared room','Gràcia',85,4,1,1,24,41,2
'Shared room','Les Corts',7,4,4,1,30,41,2
'Shared room','Sarrià-Sant Gervasi',5,5,1,1,19,41,2
'Shared room','Sant Martí',3,5,1,1,30,41,2
'Shared room','Sants-Montjuïc',20,4,2,1,30,41,2
'Shared room','Horta-Guinardó',6,3,2,1,26,41,2
'Shared room','Gràcia',20,4,1,1,36,41,2
'Shared room','Sants-Montjuïc',19,5,1,1,28,41,2
'Shared room','Sant Andreu',4,4,4,1,19,41,2
'Shared room','Eixample',33,4,6,1,29,41,2
'Shared room','Sants-Montjuïc',23,4,6,1,26,41,2
'Shared room','Eixample',16,4,2,1,19,41,2
'Shared room','Sants-Montjuïc',17,5,5,1,38,41,2
'Shared room','Gràcia',105,4,1,1,24,41,2
'Shared room','Nou Barris',3,5,1,1,12,41,2
'Shared room','Sant Martí',48,4,1,1,27,41,2
'Shared room','Eixample',50,4,6,1,29,41,2
'Shared room','Les Corts',19,4,3,1,24,41,2
'Shared room','Ciutat Vella',9,4,2,1,19,41,2
'Shared room','Sants-Montjuïc',8,5,1,1,34,41,2
'Shared room','Gràcia',31,5,2,1,40,41,2
'Shared room','Eixample',17,4,2,1,35,41,2
'Shared room','Sant Martí',13,4,1,1,34,41,2
'Shared room','Horta-Guinardó',3,5,2,1,30,41,2
