@relation relation name
@attribute room_type string
@attribute neighborhood string
@attribute reviews integer
@attribute overall_satisfaction real
@attribute accommodates integer
@attribute bedrooms real
@attribute price real
@attribute latitude real
@attribute longitude real
@data
'Private room','Sant Andreu',71,5.0,2,1.0,27.0,41.432105,2.193427
'Private room','Ciutat Vella',24,4.5,2,1.0,22.0,41.381157,2.165363
'Private room','Horta-Guinardó',10,4.5,2,1.0,23.0,41.423227,2.151266
'Private room','Horta-Guinardó',64,4.5,2,1.0,24.0,41.41696,2.178115
'Private room','Sant Andreu',3,4.5,1,1.0,36.0,41.419558,2.182055
'Private room','Sant Andreu',6,5.0,1,1.0,36.0,41.421183,2.181317
'Private room','Sant Martí',11,5.0,1,1.0,39.0,41.409071,2.209034
'Private room','Horta-Guinardó',16,4.5,2,1.0,36.0,41.432304,2.157448
'Private room','Eixample',36,4.5,2,1.0,24.0,41.405789,2.174141
'Private room','Sant Andreu',12,4.5,2,1.0,36.0,41.417339,2.184973
'Private room','Sant Martí',98,4.5,2,1.0,21.0,41.415646,2.211518
'Private room','Sant Andreu',18,4.5,1,1.0,36.0,41.416218,2.190091
'Private room','Eixample',27,5.0,1,1.0,30.0,41.405665,2.1714330000000004
'Private room','Ciutat Vella',29,4.0,2,1.0,24.0,41.37796,2.178951
'Private room','Sant Martí',52,4.5,2,1.0,39.0,41.40251,2.201721
'Private room','Eixample',80,4.5,2,1.0,35.0,41.401816,2.17708
'Private room','Eixample',22,4.5,1,1.0,25.0,41.399709,2.171896
'Private room','Sant Martí',6,3.5,2,1.0,36.0,41.414739,2.213897
'Private room','Horta-Guinardó',96,4.5,2,1.0,24.0,41.419853,2.174917
'Private room','Sant Martí',6,4.0,2,1.0,18.0,41.419933,2.211975
'Private room','Sant Martí',31,5.0,1,1.0,23.0,41.416175,2.218139
'Private room','Sant Martí',22,5.0,2,1.0,24.0,41.407028,2.189058
'Private room','Sant Martí',87,4.0,2,1.0,18.0,41.412229,2.195376
'Private room','Sant Martí',30,4.5,1,1.0,30.0,41.402591,2.208716
'Private room','Sant Martí',68,5.0,1,1.0,21.0,41.419542,2.19896
'Private room','Sant Martí',80,4.5,2,1.0,36.0,41.415748,2.1943490000000003
'Private room','Sant Martí',4,3.5,2,1.0,24.0,41.417879,2.21513
'Private room','Gràcia',85,4.0,2,1.0,24.0,41.403307,2.170291
'Private room','Sant Martí',18,5.0,2,1.0,36.0,41.412542,2.217038
'Private room','Sant Martí',4,5.0,1,1.0,30.0,41.403008,2.201759
'Private room','Sant Martí',31,4.5,2,1.0,24.0,41.411039,2.184097
'Private room','Sant Martí',24,4.5,2,1.0,35.0,41.417892,2.193827
'Private room','Sant Andreu',11,4.0,2,1.0,30.0,41.418534,2.185623
'Private room','Sant Martí',71,4.0,2,1.0,24.0,41.411565,2.195375
'Private room','Sant Andreu',43,4.5,3,1.0,28.0,41.418609,2.186734
'Private room','Sant Andreu',16,5.0,2,1.0,30.0,41.442489,2.188289
'Private room','Horta-Guinardó',5,4.0,1,1.0,23.0,41.418079,2.172586
'Private room','Nou Barris',3,4.5,2,1.0,30.0,41.427093,2.17433
'Private room','Sant Martí',7,4.5,1,1.0,27.0,41.391258,2.18377
'Private room','Eixample',129,4.5,1,1.0,30.0,41.407179,2.1779610000000003
'Private room','Nou Barris',61,5.0,3,2.0,23.0,41.434758,2.179279
'Private room','Eixample',123,4.5,1,1.0,22.0,41.398398,2.185671
'Private room','Sant Martí',9,3.5,2,1.0,20.0,41.418477,2.214336
'Private room','Ciutat Vella',33,4.5,2,1.0,36.0,41.379756,2.191664
'Private room','Nou Barris',24,5.0,1,1.0,34.0,41.436582,2.171333
