@RELATION AirBnB

@ATTRIBUTE room_type STRING
@ATTRIBUTE neighborhood STRING
@ATTRIBUTE reviews INTEGER
@ATTRIBUTE overall_satisfaction REAL
@ATTRIBUTE accommodates INTEGER
@ATTRIBUTE bedrooms REAL
@ATTRIBUTE price REAL
@ATTRIBUTE latitude REAL
@ATTRIBUTE longitude REAL

@DATA
Shared room,Eixample,27,4.5,10,1.0,264.0,41.391,2.162
Shared room,Sants-Montjuïc,11,4.0,12,1.0,129.0,41.372,2.169
Shared room,Eixample,9,5.0,2,1.0,72.0,41.391,2.154
Shared room,Eixample,10,5.0,2,1.0,64.0,41.387,2.148
Shared room,Sants-Montjuïc,67,4.0,16,1.0,45.0,41.378,2.129
Shared room,Ciutat Vella,9,5.0,2,1.0,60.0,41.379,2.190
Shared room,Eixample,6,4.5,8,1.0,289.0,41.392,2.154
Shared room,Sant Martí,5,4.5,2,1.0,133.0,41.407,2.202
Shared room,Eixample,20,4.0,4,1.0,144.0,41.393,2.152
Shared room,Sants-Montjuïc,6,4.0,6,1.0,114.0,41.372,2.168
Shared room,Eixample,28,4.0,4,1.0,84.0,41.409,2.176
Shared room,Eixample,4,5.0,1,1.0,100.0,41.387,2.170
Shared room,Sants-Montjuïc,17,3.5,16,1.0,66.0,41.373,2.170
Shared room,Les Corts,15,4.0,3,1.0,66.0,41.382,2.125
Shared room,Ciutat Vella,69,4.5,2,1.0,55.0,41.378,2.178
Shared room,Ciutat Vella,9,4.0,2,1.0,61.0,41.380,2.189
Shared room,Sant Martí,5,5.0,2,1.0,47.0,41.398,2.204
Shared room,Horta-Guinardó,37,4.5,2,1.0,58.0,41.412,2.164
Shared room,Nou Barris,5,4.5,4,1.0,29.0,41.442,2.175
Shared room,Horta-Guinardó,3,4.5,1,1.0,12.0,41.410,2.170
Shared room,Horta-Guinardó,4,1.5,1,1.0,19.0,41.420,2.159
Shared room,Horta-Guinardó,4,1.0,1,1.0,26.0,41.420,2.159
Shared room,Gràcia,5,4.5,3,1.0,35.0,41.411,2.157
Shared room,Horta-Guinardó,6,3.0,1,1.0,20.0,41.419,2.158
Shared room,Eixample,5,4.5,4,1.0,33.0,41.392,2.152
Shared room,Eixample,13,4.5,6,1.0,29.0,41.391,2.154
Shared room,Sants-Montjuïc,6,1.0,1,1.0,41.0,41.366,2.134
Shared room,Gràcia,38,4.5,1,1.0,24.0,41.398,2.158
Shared room,Gràcia,12,4.5,6,1.0,31.0,41.412,2.156
Shared room,Sant Martí,54,4.0,1,1.0,27.0,41.410,2.194
Shared room,Eixample,56,4.5,4,1.0,33.0,41.392,2.154
Shared room,Gràcia,85,4.5,1,1.0,24.0,41.398,2.156
Shared room,Les Corts,7,4.0,4,1.0,30.0,41.377,2.123
Shared room,Sarrià-Sant Gervasi,5,5.0,1,1.0,19.0,41.400,2.149
Shared room,Sant Martí,3,5.0,1,1.0,30.0,41.391,2.184
Shared room,Sants-Montjuïc,20,4.5,2,1.0,30.0,41.373,2.143
Shared room,Horta-Guinardó,6,3.5,2,1.0,26.0,41.413,2.174
Shared room,Gràcia,20,4.5,1,1.0,36.0,41.413,2.155
